,Model,Micro Accuracy,Macro Recall,Micro Recall,Macro Precision,Micro Precision,Macro F1,Micro F1
0,OVR_lr,0.95+0.01,0.95+0.01,0.95+0.01,0.95+0.01,0.95+0.01,0.95+0.01,0.95+0.01
1,OVR_svm,0.74+0.05,0.75+0.03,0.74+0.05,0.74+0.04,0.74+0.05,0.74+0.04,0.74+0.04
2,OVR_dt,0.74+0.02,0.74+0.02,0.74+0.02,0.77+0.02,0.74+0.02,0.74+0.02,0.74+0.02
3,OVO_lr,0.94+0.01,0.94+0.02,0.94+0.01,0.94+0.02,0.94+0.01,0.94+0.02,0.94+0.02
4,OVO_svm,0.93+0.01,0.93+0.01,0.93+0.01,0.93+0.01,0.93+0.01,0.93+0.01,0.93+0.01
5,OVO_dt,0.75+0.01,0.75+0.01,0.75+0.01,0.76+0.01,0.75+0.01,0.76+0.01,0.76+0.01
6,ECOC_lr,0.71+0.21,0.72+0.19,0.71+0.21,0.7+0.25,0.71+0.21,0.69+0.24,0.69+0.24
7,ECOC_svm,0.69+0.06,0.68+0.07,0.69+0.06,0.65+0.13,0.69+0.06,0.65+0.11,0.65+0.11
8,ECOC_dt,0.74+0.03,0.73+0.02,0.74+0.03,0.74+0.03,0.74+0.03,0.73+0.03,0.73+0.03
9,Multiclass DT,0.74+0.02,0.74+0.03,0.74+0.02,0.74+0.02,0.74+0.02,0.74+0.02,0.74+0.02
10,Multiclass SVM,0.72+0.03,0.72+0.02,0.72+0.03,0.74+0.02,0.72+0.03,0.72+0.02,0.72+0.02
11,DAG,0.74+0.03,0.74+0.03,0.74+0.03,0.74+0.03,0.74+0.03,0.74+0.03,0.74+0.03
