,Model,Micro Accuracy,Macro Recall,Micro Recall,Macro Precision,Micro Precision,Macro F1,Micro F1
0,OVR_lr,0.61+0.02,0.61+0.02,0.61+0.02,0.6+0.01,0.61+0.02,0.6+0.01,0.6+0.01
1,OVR_svm,0.57+0.02,0.58+0.02,0.57+0.02,0.58+0.02,0.57+0.02,0.56+0.02,0.56+0.02
2,OVR_dt,0.61+0.02,0.61+0.02,0.61+0.02,0.63+0.02,0.61+0.02,0.6+0.02,0.6+0.02
3,OVO_lr,0.62+0.02,0.62+0.02,0.62+0.02,0.62+0.02,0.62+0.02,0.62+0.02,0.62+0.02
4,OVO_svm,0.67+0.01,0.67+0.01,0.67+0.01,0.66+0.01,0.67+0.01,0.66+0.01,0.66+0.01
5,OVO_dt,0.66+0.01,0.66+0.01,0.66+0.01,0.66+0.01,0.66+0.01,0.66+0.01,0.66+0.01
6,ECOC_lr,0.49+0.1,0.5+0.1,0.49+0.1,0.51+0.11,0.49+0.1,0.49+0.11,0.49+0.11
7,ECOC_svm,0.51+0.07,0.51+0.07,0.51+0.07,0.56+0.04,0.51+0.07,0.49+0.05,0.49+0.05
8,ECOC_dt,0.62+0.06,0.62+0.05,0.62+0.06,0.61+0.09,0.62+0.06,0.61+0.08,0.61+0.08
9,Multiclass DT,0.65+0.01,0.65+0.01,0.65+0.01,0.65+0.01,0.65+0.01,0.65+0.01,0.65+0.01
10,Multiclass SVM,0.24+0.01,0.25+0.01,0.24+0.01,0.17+0.02,0.24+0.01,0.17+0.01,0.17+0.01
11,DAG,0.65+0.01,0.65+0.01,0.65+0.01,0.64+0.01,0.65+0.01,0.64+0.01,0.64+0.01
