,Model,Micro Accuracy,Macro Recall,Micro Recall,Macro Precision,Micro Precision,Macro F1,Micro F1
0,OVR_lr,0.78+0.03,0.76+0.04,0.78+0.03,0.76+0.04,0.78+0.03,0.76+0.04,0.76+0.04
1,OVR_svm,0.75+0.03,0.74+0.04,0.75+0.03,0.74+0.03,0.75+0.03,0.73+0.03,0.73+0.03
2,OVR_dt,0.72+0.03,0.75+0.03,0.72+0.03,0.72+0.02,0.72+0.03,0.71+0.03,0.71+0.03
3,OVO_lr,0.81+0.03,0.8+0.03,0.81+0.03,0.82+0.05,0.81+0.03,0.8+0.04,0.8+0.04
4,OVO_svm,0.81+0.03,0.81+0.03,0.81+0.03,0.82+0.04,0.81+0.03,0.81+0.04,0.81+0.04
5,OVO_dt,0.76+0.05,0.76+0.04,0.76+0.05,0.76+0.06,0.76+0.05,0.76+0.05,0.76+0.05
6,ECOC_lr,0.73+0.04,0.69+0.06,0.73+0.04,0.67+0.1,0.73+0.04,0.67+0.09,0.67+0.09
7,ECOC_svm,0.75+0.08,0.71+0.1,0.75+0.08,0.7+0.14,0.75+0.08,0.71+0.12,0.71+0.12
8,ECOC_dt,0.69+0.03,0.65+0.07,0.69+0.03,0.66+0.1,0.69+0.03,0.64+0.09,0.64+0.09
9,Multiclass DT,0.77+0.04,0.76+0.05,0.77+0.04,0.78+0.04,0.77+0.04,0.77+0.05,0.77+0.05
10,Multiclass SVM,0.47+0.02,0.38+0.01,0.47+0.02,0.34+0.02,0.47+0.02,0.33+0.02,0.33+0.02
11,DAG,0.74+0.06,0.74+0.07,0.74+0.06,0.73+0.06,0.74+0.06,0.73+0.07,0.73+0.07
