,Model,Micro Accuracy,Macro Recall,Micro Recall,Macro Precision,Micro Precision,Macro F1,Micro F1
0,OVR_lr,0.76+0.01,0.76+0.01,0.76+0.01,0.77+0.01,0.76+0.01,0.76+0.01,0.76+0.01
1,OVR_svm,0.74+0.01,0.74+0.01,0.74+0.01,0.75+0.01,0.74+0.01,0.74+0.01,0.74+0.01
2,OVR_dt,0.67+0.01,0.67+0.01,0.67+0.01,0.74+0.02,0.67+0.01,0.68+0.01,0.68+0.01
3,OVO_lr,0.81+0.01,0.81+0.01,0.81+0.01,0.81+0.01,0.81+0.01,0.81+0.01,0.81+0.01
4,OVO_svm,0.8+0.01,0.8+0.0,0.8+0.01,0.8+0.0,0.8+0.01,0.8+0.0,0.8+0.0
5,OVO_dt,0.75+0.01,0.75+0.01,0.75+0.01,0.76+0.01,0.75+0.01,0.76+0.01,0.76+0.01
6,ECOC_lr,0.7+0.02,0.71+0.02,0.7+0.02,0.71+0.02,0.7+0.02,0.7+0.02,0.7+0.02
7,ECOC_svm,0.7+0.02,0.7+0.02,0.7+0.02,0.7+0.02,0.7+0.02,0.7+0.02,0.7+0.02
8,ECOC_dt,0.77+0.01,0.77+0.01,0.77+0.01,0.77+0.02,0.77+0.01,0.77+0.02,0.77+0.02
9,Multiclass DT,0.73+0.01,0.73+0.01,0.73+0.01,0.73+0.01,0.73+0.01,0.73+0.01,0.73+0.01
10,Multiclass SVM,0.83+0.01,0.83+0.01,0.83+0.01,0.83+0.01,0.83+0.01,0.83+0.01,0.83+0.01
11,DAG,0.73+0.01,0.73+0.01,0.73+0.01,0.75+0.01,0.73+0.01,0.73+0.01,0.73+0.01
